asof,scenario,ensemble_fair_value_hkd_per_share,method_min_hkd_per_share,method_max_hkd_per_share,band_width_hkd_per_share,band_width_ratio
2026-03-19,bad,272.0541596652132,210.23951644075743,342.0245926576936,131.78507621693615,0.4844075031938838
2026-03-19,base,428.25102459180084,342.0245926576936,497.3999972769049,155.37540461921134,0.36281385378426506
2026-03-19,extreme,202.8491742521528,151.39665655917267,342.0245926576936,190.6279360985209,0.939752093156464
