asof,scenario,method,unlevered_value_hkd_bn,pv_tax_shield_hkd_bn,financing_side_effect_hkd_bn,enterprise_value_hkd_bn,equity_value_hkd_bn,fair_value_hkd_per_share
2026-03-19,base,apv,3950.81338357424,70.0,0.0,4020.81338357424,4137.0244574342405,455.55563695821263
2026-03-19,bad,apv,2219.447314304638,70.0,-3.5,2285.947314304638,2402.158388164638,264.5178450971847
2026-03-19,extreme,apv,1459.7903941042557,70.0,-10.5,1519.2903941042557,1635.5014679642557,180.09608612433283
