asof,scenario,method,fair_value_hkd_per_share,equity_value_hkd_bn,weight
2026-03-19,base,dcf,455.55563695821263,4137.0244574342405,0.36082474226804123
2026-03-19,base,apv,455.55563695821263,4137.0244574342405,0.2061855670103093
2026-03-19,base,residual_income,343.50382590572684,3119.451530625181,0.15463917525773196
2026-03-19,base,relative,342.0245926576936,3106.0182117747654,0.13917525773195877
2026-03-19,base,sotp_tvalue,497.3999972769049,,0.13917525773195877
2026-03-19,bad,dcf,264.9032536790674,2405.658388164638,0.36082474226804123
2026-03-19,bad,apv,264.5178450971847,2402.158388164638,0.2061855670103093
2026-03-19,bad,residual_income,210.23951644075743,1909.2421449157569,0.15463917525773196
2026-03-19,bad,relative,342.0245926576936,3106.0182117747654,0.13917525773195877
2026-03-19,bad,sotp_tvalue,300.47095994995584,,0.13917525773195877
2026-03-19,extreme,dcf,181.25231186998087,1646.0014679642554,0.36082474226804123
2026-03-19,extreme,apv,180.09608612433283,1635.5014679642557,0.2061855670103093
2026-03-19,extreme,residual_income,151.39665655917267,1374.8741539916928,0.15463917525773196
2026-03-19,extreme,relative,342.0245926576936,3106.0182117747654,0.13917525773195877
2026-03-19,extreme,sotp_tvalue,210.5433640930655,,0.13917525773195877
