scenario,enterprise_value_hkd_bn,equity_value_hkd_bn,fair_value_hkd_per_share,market_price_hkd,margin_of_safety,total_buyback_hkd_bn,shares_retired_bn,terminal_roic_implied,terminal_roic_flag,terminal_value_method,asof,wacc
base,3178.855943758782,3015.227820158782,354.3612917941828,489.2,-0.27563104702742675,280.0,0.5723630417007359,0.11343922949759215,False,gordon_growth,2026-04-02,0.1051528280763132
bad,1838.3778486186256,1814.7497250186257,206.3366848469953,489.2,-0.578216098023313,140.0,0.28618152085036797,0.034024502297090364,False,gordon_growth,2026-04-02,0.1051528280763132
extreme,1226.4930058825685,1342.8648822825685,147.87189998302657,489.2,-0.6977271055130282,0.0,0.0,0.0,False,gordon_growth,2026-04-02,0.1051528280763132
