asof,growth_shift_bps,margin_shift_bps,fair_value_hkd_per_share
2026-02-19,-200.0,-200.0,480.3153689791962
2026-02-19,-200.0,0.0,513.2354418711377
2026-02-19,-200.0,200.0,546.1555147630793
2026-02-19,0.0,-200.0,537.3998438215667
2026-02-19,0.0,0.0,574.366949944741
2026-02-19,0.0,200.0,611.3340560679152
2026-02-19,200.0,-200.0,600.7875896329901
2026-02-19,200.0,0.0,642.2523631419945
2026-02-19,200.0,200.0,683.7171366509989
