period,segment,revenue_hkd_bn,total_revenue_hkd_bn,source_doc,source_page_hint,segment_source
2025-09-30,VAS,108.76563180000001,218.83495347000002,Tencent Announces 2025 Third Quarter Results,"tencent_announces_2025_third_quarter_results.txt:lines218,219,220,221",override_csv
2025-09-30,Marketing Services,41.121260459999995,218.83495347000002,Tencent Announces 2025 Third Quarter Results,"tencent_announces_2025_third_quarter_results.txt:lines218,219,220,221",override_csv
2025-09-30,FinTech and Business Services,66.00596562,218.83495347000002,Tencent Announces 2025 Third Quarter Results,"tencent_announces_2025_third_quarter_results.txt:lines218,219,220,221",override_csv
2025-09-30,Others,2.94209559,218.83495347000002,Tencent Announces 2025 Third Quarter Results,"tencent_announces_2025_third_quarter_results.txt:lines218,219,220,221",override_csv
