period,segment,revenue_hkd_bn,total_revenue_hkd_bn,source_doc,source_page_hint,segment_source
2025-09-30,VAS,103.5288,208.29852,Tencent Announces 2025 Third Quarter Results,"tencent_announces_2025_third_quarter_results.txt:lines218,219,220,221",override_csv
2025-09-30,Marketing Services,39.14136,208.29852,Tencent Announces 2025 Third Quarter Results,"tencent_announces_2025_third_quarter_results.txt:lines218,219,220,221",override_csv
2025-09-30,FinTech and Business Services,62.827920000000006,208.29852,Tencent Announces 2025 Third Quarter Results,"tencent_announces_2025_third_quarter_results.txt:lines218,219,220,221",override_csv
2025-09-30,Others,2.80044,208.29852,Tencent Announces 2025 Third Quarter Results,"tencent_announces_2025_third_quarter_results.txt:lines218,219,220,221",override_csv
