ticker,tax_rate,gross_debt_hkd_bn,market_equity_hkd_bn,interest_expense_hkd_bn,current_price_hkd,peer_input_source,peer_source_doc,peer_source_date
0700.HK,0.2,350.0,4446.8279999999995,12.0,489.2,peer_fundamentals_csv,peer_fundamentals_template,2026-04-03
9988.HK,0.18,170.0,2721.9449999999997,7.0,118.5,peer_fundamentals_csv,peer_fundamentals_template,2026-04-03
3690.HK,0.19,120.0,516.0074999999999,6.0,80.25,peer_fundamentals_csv,peer_fundamentals_template,2026-04-03
9999.HK,0.21,90.0,503.42400000000004,4.0,174.8,peer_fundamentals_csv,peer_fundamentals_template,2026-04-03
9618.HK,0.2,110.0,509.145,5.0,111.9,peer_fundamentals_csv,peer_fundamentals_template,2026-04-03
9888.HK,0.19,95.0,558.144,4.3,108.8,peer_fundamentals_csv,peer_fundamentals_template,2026-04-03
HSI,0.2,0.0,1.3953627222222222,0.0,25116.529,mixed,,
