period,segment,revenue_hkd_bn,total_revenue_hkd_bn,source_doc,source_page_hint,segment_source
2025-09-30,VAS,108.5739118,218.44921547,Tencent Announces 2025 Third Quarter Results,"tencent_announces_2025_third_quarter_results.txt:lines218,219,220,221",override_csv
2025-09-30,Marketing Services,41.04877646,218.44921547,Tencent Announces 2025 Third Quarter Results,"tencent_announces_2025_third_quarter_results.txt:lines218,219,220,221",override_csv
2025-09-30,FinTech and Business Services,65.88961762,218.44921547,Tencent Announces 2025 Third Quarter Results,"tencent_announces_2025_third_quarter_results.txt:lines218,219,220,221",override_csv
2025-09-30,Others,2.93690959,218.44921547,Tencent Announces 2025 Third Quarter Results,"tencent_announces_2025_third_quarter_results.txt:lines218,219,220,221",override_csv
